Date,US - SPX,SPX,SPX resampleW ma50,SPX resampleW ma100,SPX resampleW ma200
2023-05-21,4191.97998046875,4191.97998046875,4073.6304052734376,4036.334106445313,3975.7469140625
2023-05-28,4205.4501953125,4205.4501953125,4100.0570068359375,4053.182009277344,3975.948312988281
2023-06-04,4282.3701171875,4282.3701171875,4121.670810546875,4067.587009277344,3974.943212890625
2023-06-11,4298.85986328125,4298.85986328125,4152.103413085937,4083.1456103515625,3976.7680615234376
2023-06-18,4409.58984375,4409.58984375,4180.910004882812,4103.934401855468,3984.276258544922
2023-06-25,4348.330078125,4348.330078125,4202.30201171875,4117.130803222656,3992.927858886719
2023-07-02,4450.3798828125,4450.3798828125,4226.028798828125,4130.208601074219,4002.099855957031
2023-07-09,4398.9501953125,4398.9501953125,4250.848193359375,4142.799899902344,4012.5617041015626
2023-07-16,4505.419921875,4505.419921875,4284.610981445312,4160.258796386719,4030.483153076172
2023-07-23,4536.33984375,4536.33984375,4327.99478515625,4187.875895996094,4052.702403564453
2023-07-30,4582.22998046875,4582.22998046875,4371.394189453125,4215.991301269532,4073.890955810547
2023-08-06,4478.02978515625,4478.02978515625,4406.833994140625,4246.440798339844,4096.701955566407
2023-08-13,4464.0498046875,4464.0498046875,4438.05578125,4274.227795410156,4115.638953857422
2023-08-20,4369.7099609375,4369.7099609375,4452.924375,4296.576794433594,4129.648602294922
2023-08-27,4405.7099609375,4405.7099609375,4459.564970703125,4313.792990722656,4145.110200195312
2023-09-03,4515.77001953125,4515.77001953125,4469.515380859375,4333.344895019532,4160.04025024414
2023-09-10,4457.490234375,4457.490234375,4478.285791015625,4346.782998046875,4170.0828515625
2023-09-17,4450.31982421875,4450.31982421875,4482.513798828125,4363.40779296875,4182.089749755859
2023-09-24,4320.06005859375,4320.06005859375,4476.9098046875,4376.901994628906,4190.914200439453
2023-10-01,4288.0498046875,4288.0498046875,4452.6987890625,4386.175087890625,4199.462198486328
2023-10-08,4308.5,4308.5,4424.412392578125,4393.179990234375,4208.299899902344
2023-10-15,4327.77978515625,4327.77978515625,4404.113193359375,4402.149096679687,4221.058500976563
2023-10-22,4224.16015625,4224.16015625,4386.73720703125,4409.554296875,4233.130903320312
2023-10-29,4117.3701171875,4117.3701171875,4361.5326171875,4406.206596679687,4240.240703125
2023-11-05,4358.33984375,4358.33984375,4347.637607421875,4403.270087890625,4247.608997802734
2023-11-12,4415.240234375,4415.240234375,4338.248603515625,4402.543193359375,4256.627547607422
2023-11-19,4514.02001953125,4514.02001953125,4339.162197265625,4408.723994140625,4266.4699987792965
2023-11-26,4559.33984375,4559.33984375,4344.754794921875,4413.246997070312,4274.830548095703
2023-12-03,4594.6298828125,4594.6298828125,4359.521396484375,4420.115400390625,4285.957298583984
2023-12-10,4604.3701171875,4604.3701171875,4386.941796875,4422.28849609375,4299.487546386718
2023-12-17,4719.18994140625,4719.18994140625,4428.62458984375,4428.807592773437,4317.271545410156
2023-12-24,4754.6298828125,4754.6298828125,4468.218583984375,4437.9069921875,4335.861046142578
2023-12-31,4769.830078125,4769.830078125,4502.62458984375,4449.024697265625,4353.7657470703125
2024-01-07,4697.240234375,4697.240234375,4539.958193359375,4458.457202148437,4368.776749267578
2024-01-14,4783.830078125,4783.830078125,4601.269609375,4477.312509765625,4389.08715209961
2024-01-21,4839.81005859375,4839.81005859375,4638.18921875,4492.51611328125,4403.154552001954
2024-01-28,4890.97021484375,4890.97021484375,4686.857431640625,4511.510815429688,4422.42785522461
2024-02-04,4958.60986328125,4958.60986328125,4726.760029296875,4533.5603125,4441.834604492187
2024-02-11,5026.60986328125,5026.60986328125,4769.90302734375,4559.343618164063,4463.285205078125
2024-02-18,5005.56982421875,5005.56982421875,4813.1222265625,4591.116411132813,4485.098502197266
2024-02-25,5088.7998046875,5088.7998046875,4848.55021484375,4621.089907226563,4503.632497558594
