Date,US - SPX,SPX,SPX resampleM ma50,SPX resampleM ma100,SPX resampleM ma200
1998-11-30,1163.6300048828125,1163.6300048828125,1078.4961962890625,1081.1626959228515,1089.871798400879
1998-12-31,1229.22998046875,1229.22998046875,1153.5841918945312,1092.5638970947266,1105.109747619629
1999-01-31,1279.6400146484375,1279.6400146484375,1208.4365942382813,1130.033997192383,1118.630896911621
1999-02-28,1238.3299560546875,1238.3299560546875,1237.8848022460938,1172.06919921875,1131.5239468383788
1999-03-31,1286.3699951171875,1286.3699951171875,1263.0954052734376,1226.1872973632812,1152.0572982788085
1999-04-30,1335.1800537109375,1335.1800537109375,1300.54919921875,1264.2764990234375,1172.677098083496
1999-05-31,1301.8399658203125,1301.8399658203125,1325.3696044921876,1290.885402832031,1193.3230502319336
1999-06-30,1372.7099609375,1372.7099609375,1330.82380859375,1306.3591052246093,1224.4281509399414
1999-07-31,1328.719970703125,1328.719970703125,1344.9026049804688,1334.7255041503906,1262.8667010498048
1999-08-31,1320.4100341796875,1320.4100341796875,1351.2216088867187,1340.2112072753907,1289.099102783203
1999-09-30,1282.7099609375,1282.7099609375,1327.0004052734375,1335.7350061035156,1305.135953979492
1999-10-31,1362.9300537109375,1362.9300537109375,1315.5730053710938,1330.9667065429687,1313.024605712891
1999-11-30,1388.9100341796875,1388.9100341796875,1336.0743994140626,1340.445604248047,1328.1241540527344
1999-12-31,1469.25,1469.25,1396.0997973632811,1356.7989025878906,1345.970554199219
2000-01-31,1394.4599609375,1394.4599609375,1424.9143994140625,1374.336202392578,1357.3901049804688
2000-02-29,1366.4200439453125,1366.4200439453125,1415.3632006835935,1390.1736010742188,1361.9002532958984
2000-03-31,1498.5799560546875,1498.5799560546875,1415.171396484375,1419.3552966308594,1376.6847015380858
2000-04-30,1452.4300537109375,1452.4300537109375,1435.7021948242189,1429.9349975585938,1385.5050006103515
2000-05-31,1420.5999755859375,1420.5999755859375,1450.9645971679688,1427.7218981933593,1394.2686993408204
2000-06-30,1454.5999755859375,1454.5999755859375,1441.7966015625,1435.5007971191403,1407.506049194336
2000-07-31,1430.8299560546875,1430.8299560546875,1456.126396484375,1454.8261962890624,1424.5640979003906
2000-08-31,1517.6800537109375,1517.6800537109375,1475.5383984375,1457.5076989746094,1441.8289971923828
2000-09-30,1436.510009765625,1436.510009765625,1473.966599121094,1463.48169921875,1447.3994982910156
2000-10-31,1429.4000244140625,1429.4000244140625,1440.146201171875,1454.91419921875,1441.8263983154295
2000-11-30,1314.949951171875,1314.949951171875,1390.8867944335936,1436.3778955078126,1438.0019470214845
2000-12-31,1320.280029296875,1320.280029296875,1360.2191943359376,1408.497596435547,1433.4832470703125
2001-01-31,1366.010009765625,1366.010009765625,1334.615400390625,1374.6443994140625,1417.3649487304688
2001-02-28,1239.93994140625,1239.93994140625,1318.847001953125,1346.3823999023436,1405.3579986572263
2001-03-31,1160.3299560546875,1160.3299560546875,1262.4898071289062,1301.6455017089845,1377.7310998535156
2001-04-30,1249.4599609375,1249.4599609375,1199.7078002929688,1267.215303955078,1350.0537994384763
2001-05-31,1255.8199462890625,1255.8199462890625,1218.4165966796877,1254.2873034667969,1328.222449951172
2001-06-30,1224.3800048828125,1224.3800048828125,1252.0723950195313,1232.2623999023438,1300.8476495361328
2001-07-31,1211.22998046875,1211.22998046875,1231.2101953125,1216.4265979003906,1277.247299194336
2001-08-31,1133.5799560546875,1133.5799560546875,1194.427802734375,1222.1538012695312,1252.7384014892575
2001-09-30,1040.93994140625,1040.93994140625,1144.067802734375,1194.9584997558593,1230.1162518310548
2001-10-31,1059.780029296875,1059.780029296875,1087.3552026367188,1150.3184008789062,1201.8099517822266
2001-11-30,1139.449951171875,1139.449951171875,1090.6607995605468,1128.6321032714843,1178.9584008789063
2001-12-31,1148.0799560546875,1148.0799560546875,1127.1576049804687,1117.221004638672,1166.939301147461
2002-01-31,1130.199951171875,1130.199951171875,1142.7828076171877,1109.9755029296875,1166.0646520996097
2002-02-28,1106.72998046875,1106.72998046875,1126.5796020507812,1120.088101806641,1153.4827514648437
2002-03-31,1147.3900146484375,1147.3900146484375,1127.4589990234374,1134.70740234375,1141.583251342773
2002-04-30,1076.9200439453125,1076.9200439453125,1126.5623974609375,1130.2155004882814,1128.8504522705075
2002-05-31,1067.1400146484375,1067.1400146484375,1101.4651977539063,1114.8418994140625,1115.3043524169923
2002-06-30,989.8200073242188,989.8200073242188,1055.2422033691407,1091.714701538086,1100.52300201416
2002-07-31,911.6199951171876,911.6199951171876,975.6130053710938,1045.2792016601563,1084.962352294922
2002-08-31,916.0700073242188,916.0700073242188,917.3404028320311,994.1330017089844,1064.9720025634765
2002-09-30,815.280029296875,815.280029296875,885.9650036621093,949.00650390625,1037.2407025146483
2002-10-31,885.760009765625,885.760009765625,871.0166040039062,900.1646038818359,1003.5138522338868
2002-11-30,936.3099975585938,936.3099975585938,873.81400390625,884.5629034423828,983.1173529052736
2002-12-31,879.8200073242188,879.8200073242188,901.9262036132812,889.44900390625,958.6272024536132
2003-01-31,855.7000122070312,855.7000122070312,901.8374011230468,884.5916027832031,933.7411029052736
2003-02-28,841.1500244140625,841.1500244140625,872.311201171875,881.6978033447266,910.3297030639648
2003-03-31,848.1799926757812,848.1799926757812,847.62,877.7835015869141,887.8715026855468
2003-04-30,916.9199829101562,916.9199829101562,863.5423986816406,873.0679998779297,878.8463018798828
2003-05-31,963.5900268554688,963.5900268554688,906.126796875,881.0549981689453,885.5019012451172
2003-06-30,974.5,974.5,953.7071997070312,902.3535986328123,892.7034509277344
2003-07-31,990.3099975585938,990.3099975585938,983.8047998046876,937.6348992919922,910.1856008911132
2003-08-31,1008.010009765625,1008.010009765625,989.7742028808592,964.56830078125,920.462000732422
2003-09-30,995.969970703125,995.969970703125,1002.1809997558594,988.7025994873048,931.5624996948242
2003-10-31,1050.7099609375,1050.7099609375,1025.8061962890624,1008.0218994140624,946.949499206543
2003-11-30,1058.199951171875,1058.199951171875,1038.7833984375,1018.8707983398438,965.6480987548828
2003-12-31,1111.9200439453125,1111.9200439453125,1061.6964038085937,1039.541900024414,992.827850036621
2004-01-31,1131.1300048828125,1131.1300048828125,1095.8496020507812,1065.4232995605469,1018.732550354004
2004-02-29,1144.93994140625,1144.93994140625,1128.2700048828126,1089.1877026367188,1040.1826010131836
2004-03-31,1126.2099609375,1126.2099609375,1134.0303955078125,1107.8360986328123,1058.7600994873046
2004-04-30,1107.300048828125,1107.300048828125,1130.0771923828124,1124.6157006835938,1073.4806491088866
2004-05-31,1120.6800537109375,1120.6800537109375,1116.6733984375,1127.2152978515626,1085.3755987548827
2004-06-30,1140.8399658203125,1140.8399658203125,1119.6708081054687,1126.870500488281,1098.433200378418
2004-07-31,1101.719970703125,1101.719970703125,1116.949404296875,1117.974298095703,1107.0085498046874
2004-08-31,1104.239990234375,1104.239990234375,1102.8657934570313,1111.0428979492187,1111.6883489990234
2004-09-30,1114.5799560546875,1114.5799560546875,1101.737199707031,1109.2240014648437,1118.1067504882812
2004-10-31,1130.199951171875,1130.199951171875,1115.232805175781,1111.4953015136718,1119.3995501708985
2004-11-30,1173.8199462890625,1173.8199462890625,1138.6282055664062,1119.6647009277344,1122.4025494384766
2004-12-31,1211.9200439453125,1211.9200439453125,1174.42919921875,1142.4321032714845,1129.0187506103516
2005-01-31,1181.27001953125,1181.27001953125,1188.7127954101563,1159.332501220703,1134.709951171875
2005-02-28,1203.5999755859375,1203.5999755859375,1193.9131982421875,1174.2965002441406,1142.366751098633
2005-03-31,1180.5899658203125,1180.5899658203125,1192.8396020507812,1190.7317993164063,1151.3177508544925
2005-04-30,1156.8499755859375,1156.8499755859375,1182.6639965820314,1187.8128979492187,1155.3161499023438
2005-05-31,1191.5,1191.5,1171.9569995117188,1183.3171984863282,1164.7249005126953
2005-06-30,1191.3299560546875,1191.3299560546875,1185.51619140625,1187.497596435547,1175.2171490478515
2005-07-31,1234.1800537109375,1234.1800537109375,1208.8101928710937,1190.8100952148438,1185.268797607422
2005-08-31,1220.3299560546875,1220.3299560546875,1219.8513940429686,1199.8123962402344,1195.6147967529296
2005-09-30,1228.81005859375,1228.81005859375,1226.2196069335937,1213.5249987792968,1199.8845483398438
2005-10-31,1207.010009765625,1207.010009765625,1209.6572021484376,1214.350797119141,1199.313549194336
2005-11-30,1249.47998046875,1249.47998046875,1215.215400390625,1221.3961022949218,1204.5002478027343
2005-12-31,1248.2900390625,1248.2900390625,1240.3452026367188,1227.806201171875,1210.5186492919922
2006-01-31,1280.0799560546875,1280.0799560546875,1267.6678002929686,1239.2880017089844,1220.7658984375
2006-02-28,1280.6600341796875,1280.6600341796875,1274.1100073242187,1249.0904028320313,1231.8612005615234
2006-03-31,1294.8699951171875,1294.8699951171875,1283.8365991210935,1272.1726013183593,1243.502599487305
2006-04-30,1310.6099853515625,1310.6099853515625,1296.0272045898437,1283.0151037597657,1252.6268530273437
2006-05-31,1270.0899658203125,1270.0899658203125,1296.4235986328124,1288.9231005859374,1258.956700439453
2006-06-30,1270.199951171875,1270.199951171875,1275.937395019531,1283.6617004394532,1262.300150756836
2006-07-31,1276.6600341796875,1276.6600341796875,1258.0327978515625,1279.515098876953,1267.135550537109
2006-08-31,1303.8199462890625,1303.8199462890625,1271.561201171875,1276.8380981445312,1276.780200805664
2006-09-30,1335.8499755859375,1335.8499755859375,1296.32380859375,1278.9966015625,1282.9463525390624
2006-10-31,1377.93994140625,1377.93994140625,1334.9473999023437,1298.585400390625,1293.0211505126954
2006-11-30,1400.6300048828125,1400.6300048828125,1369.2495922851565,1326.8919006347655,1305.3548999023435
2006-12-31,1418.300048828125,1418.300048828125,1397.683996582031,1357.8811999511718,1318.256149902344
2007-01-31,1438.239990234375,1438.239990234375,1415.83439453125,1383.975897216797,1330.7105480957032
2007-02-28,1406.8199462890625,1406.8199462890625,1431.48580078125,1407.5291979980468,1343.4461993408204
2007-03-31,1420.8599853515625,1420.8599853515625,1425.1874047851563,1416.418399658203,1358.8720007324218
2007-04-30,1482.3699951171875,1482.3699951171875,1435.2280029296876,1430.9176025390625,1379.595301513672
2007-05-31,1530.6199951171875,1530.6199951171875,1479.0047998046875,1451.604300537109,1406.9434997558594
2007-06-30,1503.3499755859375,1503.3499755859375,1509.221796875,1469.368201904297,1429.5912487792968
2007-07-31,1455.27001953125,1455.27001953125,1518.255595703125,1488.5610974121091,1449.2785986328124
2007-08-31,1473.989990234375,1473.989990234375,1487.9915991210937,1496.3576977539062,1458.493198852539
2007-09-30,1526.75,1526.75,1477.5398046875,1498.7805993652344,1467.551500854492
2007-10-31,1549.3800048828125,1549.3800048828125,1511.1568017578124,1504.2127001953124,1481.2809509277345
2007-11-30,1481.1400146484375,1481.1400146484375,1505.749597167969,1493.1857006835935,1483.950650024414
2007-12-31,1468.3599853515625,1468.3599853515625,1480.580998535156,1488.1617004394532,1490.657149658203
2008-01-31,1378.550048828125,1378.550048828125,1430.485595703125,1472.3314978027345,1484.6113488769531
2008-02-29,1330.6300048828125,1330.6300048828125,1386.4256005859374,1440.4551000976562,1470.7151000976562
2008-03-31,1322.699951171875,1322.699951171875,1337.5430004882812,1396.8781994628907,1450.5925494384765
