Date,US - SPX,SPX,SPX ma50,SPX ma100,SPX ma200
2026-01-16,6940.009765625,6940.009765625,6829.71939453125,6742.042387695313,6355.801789550781
2026-01-20,6796.85986328125,6796.85986328125,6829.730791015625,6745.351586914063,6361.431237792969
2026-01-21,6875.6201171875,6875.6201171875,6832.836796875,6749.2937890625,6368.82673828125
2026-01-22,6913.35009765625,6913.35009765625,6836.527802734375,6753.40869140625,6378.023088378906
2026-01-23,6915.60986328125,6915.60986328125,6838.191396484375,6757.962192382813,6387.289887695312
2026-01-26,6950.22998046875,6950.22998046875,6840.263798828125,6763.309091796875,6397.1271875
2026-01-27,6978.60009765625,6978.60009765625,6842.81740234375,6768.612495117188,6404.735688476562
2026-01-28,6978.02978515625,6978.02978515625,6847.628193359375,6773.3719921875,6413.285588378906
2026-01-29,6969.009765625,6969.009765625,6852.32619140625,6778.24708984375,6421.313837890625
2026-01-30,6939.02978515625,6939.02978515625,6857.658583984375,6782.685888671875,6428.979135742187
2026-02-02,6976.43994140625,6976.43994140625,6864.840986328125,6787.324189453125,6436.878186035156
2026-02-03,6917.81005859375,6917.81005859375,6870.353984375,6791.181889648437,6445.088735351563
2026-02-04,6882.72021484375,6882.72021484375,6877.233193359375,6794.134389648438,6453.088835449219
2026-02-05,6798.39990234375,6798.39990234375,6881.14138671875,6796.27548828125,6461.289833984375
2026-02-06,6932.2998046875,6932.2998046875,6885.68498046875,6799.445688476562,6469.512534179688
2026-02-09,6964.81982421875,6964.81982421875,6889.663779296875,6803.0262890625,6477.457333984375
2026-02-10,6941.81005859375,6941.81005859375,6892.247783203125,6806.440888671875,6484.742534179688
2026-02-11,6941.47021484375,6941.47021484375,6894.095390625,6809.535991210938,6491.823835449219
2026-02-12,6832.759765625,6832.759765625,6894.49798828125,6811.219990234375,6498.343884277344
2026-02-13,6836.169921875,6836.169921875,6894.633984375,6812.644189453125,6504.720583496094
2026-02-17,6843.22021484375,6843.22021484375,6894.503984375,6814.507192382813,6511.091384277343
2026-02-18,6881.31005859375,6881.31005859375,6894.987783203125,6816.9405908203125,6517.477233886719
2026-02-19,6861.89013671875,6861.89013671875,6894.817587890625,6819.512290039063,6523.353334960938
2026-02-20,6909.509765625,6909.509765625,6896.077587890625,6822.170385742187,6529.648984375
2026-02-23,6837.75,6837.75,6896.022392578125,6823.935786132813,6535.80318359375
2026-02-24,6890.06982421875,6890.06982421875,6896.090185546875,6825.951884765625,6542.097133789062
